         558350302 function calls (558344634 primitive calls) in 475.387 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:12(KeyDerivationFunction)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(__init__)
       40    0.000    0.000    0.001    0.000 __init__.py:1216(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:122(<listcomp>)
       37    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(_fixupChildren)
        3    0.000    0.000    0.049    0.016 __init__.py:13(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1321(Logger)
       38    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:15(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1526(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1662(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1668(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1679(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
       41    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
       40    0.000    0.000    0.001    0.000 __init__.py:1925(getLogger)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:2054(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:2070(createLock)
       47    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:22(NullHandler)
       47    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.001    0.001 __init__.py:24(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:242(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:27(AsymmetricVerificationContext)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:298(LZ4FrameDecompressor)
        2    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        3    0.000    0.000    0.334    0.111 __init__.py:3(<module>)
        1    0.001    0.001    0.668    0.668 __init__.py:30(<module>)
       13    0.002    0.000    0.005    0.000 __init__.py:316(namedtuple)
       31    0.000    0.000    0.002    0.000 __init__.py:317(_deprecate_scalar)
